voter_id,dim1,dim2,dim3,jméno,kandidátka,klub,mp_id,name,party,datum
316,7.005467033742191,-5.540627389504721,-5.9173750955506685,,,,316.0,Pavel Karpíšek,ODS,0.0
317,8.170549112364224,-3.6741444390608837,-5.4792316179811715,,,,317.0,Vladislav Vilímec,ODS,0.0
318,5.202314771851796,-1.4416787175353367,-1.7832959413159368,,,,318.0,Ladislav Faktor,NK,0.0
319,1.8208580479225858,-1.7329158876567654,-1.8773273742571719,,,,319.0,Pavel Fischer,NK,0.0
320,-3.6140811537038053,-0.36638391969739514,1.7566564996077896,,,,320.0,Lukáš Wagenknecht,Piráti,0.0
321,-2.645446486071496,-2.965859523182807,-0.2480388143108763,,,,321.0,Marek Hilšer,MHS,0.0
322,7.557824443479575,0.06905282279115153,-3.0093570669851144,,,,322.0,Ladislav Chlupáč,ODS,0.0
323,7.5980137553195775,-5.413260102873791,-6.823741882251025,,,,323.0,Raduan Nwelati,ODS,0.0
324,-0.9292206434021492,-3.2835162344078874,-1.4956914153655172,,,,324.0,Zdeněk Hraba,STAN,0.0
325,6.763426220262729,-3.674357065732845,-3.7944155957254324,,,,325.0,Jan Tecl,ODS+STAN+STO,0.0
326,6.813615519612302,-3.4972230014131034,-4.05915387803107,,,,326.0,Martin Červíček,ODS,0.0
327,7.18461986515266,-4.327558346406394,-5.8255210555360275,,,,327.0,Michal Kortyš,ODS,0.0
328,-2.3871107050760374,-1.4482451000581875,0.02852263214458105,,,,328.0,Hana Žáková,STAN,0.0
329,8.105053569540388,-4.7520912380984734,-6.468612349354441,,,,329.0,Rostislav Koštial,ODS,0.0
330,-3.5856342421395175,-1.6247352568402145,1.165249033314651,,,,330.0,Mikuláš Bek,ZelODSSTANTOP09,0.0
331,4.479299933854815,-0.45748998875435787,-1.1721029445455258,,,,331.0,Jitka Chalánková,NK,0.0
332,-1.829588603056537,6.8936037919531,1.8990219066670853,,,,332.0,Miroslav Adámek,ANO,0.0
333,-0.4421771669588802,-3.2985778273151407,-1.059937544741174,,,,333.0,Herbert Pavera,ODS+STAN+TOP 09,0.0
15,-1.2976706890229803,6.828577582020848,1.0612366429253484,,,,15.0,Milan Štěch,ČSSD,1.0
63,-6.827663055781273,-1.4764252908651017,5.337975895968783,,,,63.0,Jitka Seitlová,KDU-ČSL,1.0
92,1.2792835651541097,7.349978098369693,-0.8529379112517788,,,,92.0,Jaroslav Doubrava,S.cz,1.0
120,8.169669096122663,0.5228477797680658,-6.43519135325009,,,,120.0,Jaroslav Kubera,ODS,1.0
139,0.6515599893660768,6.806044765599796,-0.3862408762064698,,,,139.0,Ivo Bárek,ČSSD,1.0
169,-2.6818016636695,-2.454221162469901,1.3565050957660416,,,,169.0,Jan Horník,STAN,1.0
171,8.061493909393064,-3.1531707591459117,-6.813906228929485,,,,171.0,Tomáš Jirsa,ODS,1.0
172,7.47071814789405,-1.8950747242242696,-5.9542315456640384,,,,172.0,Jiří Oberfalzer,KDU+ODS+TOP 09,1.0
206,0.5178093523537022,7.268120734981879,-0.5011320375145478,,,,206.0,Petr Vícha,ČSSD,1.0
207,0.9611874978939992,-0.4030626472505224,-0.16381506231686357,,,,207.0,Jiří Čunek,KDU-ČSL,1.0
211,-1.05628408224315,6.641515876310711,0.6859584561705439,,,,211.0,Miroslav Nenutil,ČSSD,1.0
224,2.5236390246577263,5.138166822701812,-2.2780095485675145,,,,224.0,Miroslav Antl,ČSSD,1.0
231,0.3263270259365701,6.640969999899178,-0.24127352706870814,,,,231.0,Radek Sušil,ČSSD,1.0
233,-4.258907226013188,-1.9446953317734867,2.8691476416269253,,,,233.0,Alena Dernerová,SD-SN,1.0
239,0.3281462815592645,6.009259372385988,0.13442678374112135,,,,239.0,Jaromír Strnad,ČSSD,1.0
240,-5.1202154695451965,0.3886359876242394,4.829028920747278,,,,240.0,Miluše Horská,KDU-ČSL+Nestran,1.0
241,-1.31418958623369,2.1827855604917192,3.380922165418578,,,,241.0,Petr Šilar,KDU-ČSL,1.0
243,8.088866744214428,-3.3618988409806416,-6.256471116990836,,,,243.0,Miloš Vystrčil,KDU+ODS+TOP 09,1.0
244,-2.141214181390372,3.9465684223040447,1.6497708164642055,,,,244.0,Jan Žaloudík,ČSSD,1.0
253,-6.835719041069575,3.42761791849837,5.825629536164624,,,,253.0,Jiří Dienstbier,ČSSD,1.0
268,8.274014911077819,-1.6609043033747057,-6.886285483937992,,,,268.0,Jaroslav Zeman,ODS,1.0
270,-1.667629122329514,-3.9055820704052215,-0.12760646280284393,,,,270.0,Leopold Sulovský,Ostravak,1.0
272,-0.6496213084224847,-0.4899642055997974,1.8452921485113394,,,,272.0,Patrik Kunčar,KDU-ČSL,1.0
274,0.5019888363520757,8.077557383797727,-0.4067487827443151,,,,274.0,Zdeňka Hamousová,ANO 2011,1.0
