mp_id,name,constituency_id,party,since,until,photo,link
258,Lubomír Franc,47,ČSSD,2012-10-20,2018-10-20,/images/senatori/francl_295.jpg,https://senat.cz/senatori/index.php?ke_dni=20.01.2013&lng=cz&par_3=258
326,Martin Červíček,47,ODS,2018-10-13,2024-10-13,/images/senatori/cervicekm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=326
48,František Bartoš,48,KDU-ČSL,1996-11-23,2002-11-23,/images/senatori/bartosf_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=48
141,Václava Domšová,48,SNK,2002-11-02,2008-11-02,/images/senatori/domsovav_295.jpg,https://senat.cz/senatori/index.php?ke_dni=02.02.2003&lng=cz&par_3=141
224,Miroslav Antl,48,ČSSD,2008-10-25,2014-10-25,/images/senatori/antlm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=224
224,Miroslav Antl,48,ČSSD,2014-10-18,2020-10-18,/images/senatori/antlm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=224
346,Jan Grulich,48,TOP 09+LES,2020-10-10,2026-10-10,/images/senatori/grulichj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=346
49,Libor Pavlů,49,ČSSD,1996-11-23,1998-11-23,/images/senatori/pavlul_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=49
98,Stanislav Bělehrádek,49,4KOALICE,1998-11-21,2004-11-21,/images/senatori/belehradeks_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=98
181,Vlastimil Sehnal,49,ODS,2004-11-13,2010-11-13,/images/senatori/sehnalv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=181
242,Jozef Regec,49,ČSSD,2010-10-23,2016-10-23,/images/senatori/regecj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.01.2011&lng=cz&par_3=242
302,Jaromíra Vítková,49,KDU-ČSL,2016-10-15,2022-10-15,/images/senatori/vitkovaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=15.01.2017&lng=cz&par_3=302
302,Jaromíra Vítková,49,KDU+ODS+TOP 09,2022-10-01,2028-10-01,/images/senatori/vitkovaj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=01.01.2023&lng=cz&par_3=302
50,Jiří Brýdl,50,KDU-ČSL,1996-11-23,2000-11-23,/images/senatori/brydlj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=50
50,Jiří Brýdl,50,KDU-ČSL,2000-11-19,2006-11-19,/images/senatori/brydlj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=19.02.2001&lng=cz&par_3=50
199,Václav Koukal,50,KDU-ČSL,2006-10-28,2012-10-28,/images/senatori/koukalv_295.jpg,https://senat.cz/senatori/index.php?ke_dni=28.01.2007&lng=cz&par_3=199
261,Radko Martínek,50,ČSSD,2012-10-20,2018-10-20,/images/senatori/martinekr_295.jpg,https://senat.cz/senatori/index.php?ke_dni=20.01.2013&lng=cz&par_3=261
327,Michal Kortyš,50,ODS,2018-10-13,2024-10-13,/images/senatori/kortysm_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.01.2019&lng=cz&par_3=327
51,Jiří Šenkýř,51,KDU-ČSL,1996-11-23,2002-11-23,/images/senatori/senkyrj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=51
147,Josef Novotný,51,SNK,2002-11-02,2008-11-02,/images/senatori/novotnyj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=02.02.2003&lng=cz&par_3=147
225,Dagmar Zvěřinová,51,ČSSD,2008-10-25,2014-10-25,/images/senatori/zverinovad_295.jpg,https://senat.cz/senatori/index.php?ke_dni=25.01.2009&lng=cz&par_3=225
286,František Bradáč,51,KDU-ČSL,2014-10-18,2020-10-18,/images/senatori/bradacf_295.jpg,https://senat.cz/senatori/index.php?ke_dni=18.01.2015&lng=cz&par_3=286
347,Josef Klement,51,KDU-ČSL,2020-10-10,2026-10-10,/images/senatori/klementj_295.jpg,https://senat.cz/senatori/index.php?ke_dni=10.01.2021&lng=cz&par_3=347
52,Václav Jehlička,52,ODA,1996-11-23,1998-11-23,/images/senatori/jehlickav_295.jpg,https://senat.cz/senatori/index.php?ke_dni=23.02.1997&lng=cz&par_3=52
52,Václav Jehlička,52,4KOALICE,1998-11-21,2004-11-21,/images/senatori/jehlickav_295.jpg,https://senat.cz/senatori/index.php?ke_dni=21.02.1999&lng=cz&par_3=52
52,Václav Jehlička,52,KDU-ČSL,2004-11-13,2010-11-13,/images/senatori/jehlickav_295.jpg,https://senat.cz/senatori/index.php?ke_dni=13.02.2005&lng=cz&par_3=52
